Time (DD.MM.YYYY HH:MM:SS);name;CPU usage [%];vCPU [units]
01.05.2024 00:00:00;SRVDB1797;6.71;16.00
01.05.2024 01:00:00;SRVDB1797;1.87;16.00
01.05.2024 02:00:00;SRVDB1797;1.58;16.00
01.05.2024 03:00:00;SRVDB1797;1.42;16.00
01.05.2024 04:00:00;SRVDB1797;1.38;16.00
01.05.2024 05:00:00;SRVDB1797;1.50;16.00
01.05.2024 06:00:00;SRVDB1797;1.69;16.00
01.05.2024 07:00:00;SRVDB1797;2.36;16.00
01.05.2024 08:00:00;SRVDB1797;2.76;16.00
01.05.2024 09:00:00;SRVDB1797;2.93;16.00
01.05.2024 10:00:00;SRVDB1797;3.89;16.00
01.05.2024 11:00:00;SRVDB1797;3.94;16.00
01.05.2024 12:00:00;SRVDB1797;3.99;16.00
01.05.2024 13:00:00;SRVDB1797;4.58;16.00
01.05.2024 14:00:00;SRVDB1797;4.14;16.00
01.05.2024 15:00:00;SRVDB1797;3.76;16.00
01.05.2024 16:00:00;SRVDB1797;4.17;16.00
01.05.2024 17:00:00;SRVDB1797;3.76;16.00
01.05.2024 18:00:00;SRVDB1797;3.68;16.00
01.05.2024 19:00:00;SRVDB1797;4.16;16.00
01.05.2024 20:00:00;SRVDB1797;3.89;16.00
01.05.2024 21:00:00;SRVDB1797;3.73;16.00
01.05.2024 22:00:00;SRVDB1797;6.83;16.00
01.05.2024 23:00:00;SRVDB1797;2.59;16.00
02.05.2024 00:00:00;SRVDB1797;5.55;16.00
02.05.2024 01:00:00;SRVDB1797;1.77;16.00
02.05.2024 02:00:00;SRVDB1797;1.68;16.00
02.05.2024 03:00:00;SRVDB1797;1.50;16.00
02.05.2024 04:00:00;SRVDB1797;1.53;16.00
02.05.2024 05:00:00;SRVDB1797;1.94;16.00
02.05.2024 06:00:00;SRVDB1797;1.95;16.00
02.05.2024 07:00:00;SRVDB1797;2.61;16.00
02.05.2024 08:00:00;SRVDB1797;2.92;16.00
02.05.2024 09:00:00;SRVDB1797;4.40;16.00
02.05.2024 10:00:00;SRVDB1797;5.78;16.00
02.05.2024 11:00:00;SRVDB1797;8.34;16.00
02.05.2024 12:00:00;SRVDB1797;6.80;16.00
02.05.2024 13:00:00;SRVDB1797;6.86;16.00
02.05.2024 14:00:00;SRVDB1797;4.54;16.00
02.05.2024 15:00:00;SRVDB1797;4.65;16.00
02.05.2024 16:00:00;SRVDB1797;4.77;16.00
02.05.2024 17:00:00;SRVDB1797;4.98;16.00
02.05.2024 18:00:00;SRVDB1797;5.26;16.00
02.05.2024 19:00:00;SRVDB1797;4.97;16.00
02.05.2024 20:00:00;SRVDB1797;4.29;16.00
02.05.2024 21:00:00;SRVDB1797;3.90;16.00
02.05.2024 22:00:00;SRVDB1797;7.49;16.00
02.05.2024 23:00:00;SRVDB1797;2.87;16.00
03.05.2024 00:00:00;SRVDB1797;4.09;16.00
03.05.2024 01:00:00;SRVDB1797;1.68;16.00
03.05.2024 02:00:00;SRVDB1797;1.50;16.00
03.05.2024 03:00:00;SRVDB1797;1.48;16.00
03.05.2024 04:00:00;SRVDB1797;1.46;16.00
03.05.2024 05:00:00;SRVDB1797;1.73;16.00
03.05.2024 06:00:00;SRVDB1797;1.90;16.00
03.05.2024 07:00:00;SRVDB1797;2.73;16.00
03.05.2024 08:00:00;SRVDB1797;3.67;16.00
03.05.2024 09:00:00;SRVDB1797;4.75;16.00
03.05.2024 10:00:00;SRVDB1797;5.60;16.00
03.05.2024 11:00:00;SRVDB1797;5.42;16.00
03.05.2024 12:00:00;SRVDB1797;8.34;16.00
03.05.2024 13:00:00;SRVDB1797;7.72;16.00
03.05.2024 14:00:00;SRVDB1797;6.24;16.00
03.05.2024 15:00:00;SRVDB1797;6.22;16.00
03.05.2024 16:00:00;SRVDB1797;10.58;16.00
03.05.2024 17:00:00;SRVDB1797;7.70;16.00
03.05.2024 18:00:00;SRVDB1797;6.01;16.00
03.05.2024 19:00:00;SRVDB1797;5.75;16.00
03.05.2024 20:00:00;SRVDB1797;5.95;16.00
03.05.2024 21:00:00;SRVDB1797;4.52;16.00
03.05.2024 22:00:00;SRVDB1797;8.00;16.00
03.05.2024 23:00:00;SRVDB1797;3.44;16.00
04.05.2024 00:00:00;SRVDB1797;6.22;16.00
04.05.2024 01:00:00;SRVDB1797;2.13;16.00
04.05.2024 02:00:00;SRVDB1797;1.75;16.00
04.05.2024 03:00:00;SRVDB1797;1.57;16.00
04.05.2024 04:00:00;SRVDB1797;1.58;16.00
04.05.2024 05:00:00;SRVDB1797;1.80;16.00
04.05.2024 06:00:00;SRVDB1797;2.13;16.00
04.05.2024 07:00:00;SRVDB1797;3.10;16.00
04.05.2024 08:00:00;SRVDB1797;3.11;16.00
04.05.2024 09:00:00;SRVDB1797;4.33;16.00
04.05.2024 10:00:00;SRVDB1797;4.87;16.00
04.05.2024 11:00:00;SRVDB1797;4.66;16.00
04.05.2024 12:00:00;SRVDB1797;4.75;16.00
04.05.2024 13:00:00;SRVDB1797;4.82;16.00
04.05.2024 14:00:00;SRVDB1797;5.11;16.00
04.05.2024 15:00:00;SRVDB1797;4.73;16.00
04.05.2024 16:00:00;SRVDB1797;5.24;16.00
04.05.2024 17:00:00;SRVDB1797;4.62;16.00
04.05.2024 18:00:00;SRVDB1797;4.35;16.00
04.05.2024 19:00:00;SRVDB1797;4.12;16.00
04.05.2024 20:00:00;SRVDB1797;4.18;16.00
04.05.2024 21:00:00;SRVDB1797;4.00;16.00
04.05.2024 22:00:00;SRVDB1797;7.68;16.00
04.05.2024 23:00:00;SRVDB1797;2.95;16.00
05.05.2024 00:00:00;SRVDB1797;6.79;16.00
05.05.2024 01:00:00;SRVDB1797;2.05;16.00
05.05.2024 02:00:00;SRVDB1797;1.86;16.00
05.05.2024 03:00:00;SRVDB1797;1.64;16.00
05.05.2024 04:00:00;SRVDB1797;1.57;16.00
05.05.2024 05:00:00;SRVDB1797;1.70;16.00
05.05.2024 06:00:00;SRVDB1797;1.81;16.00
05.05.2024 07:00:00;SRVDB1797;2.34;16.00
05.05.2024 08:00:00;SRVDB1797;7.98;16.00
05.05.2024 09:00:00;SRVDB1797;3.14;16.00
05.05.2024 10:00:00;SRVDB1797;3.92;16.00
05.05.2024 11:00:00;SRVDB1797;4.15;16.00
05.05.2024 12:00:00;SRVDB1797;4.15;16.00
05.05.2024 13:00:00;SRVDB1797;4.21;16.00
05.05.2024 14:00:00;SRVDB1797;4.30;16.00
05.05.2024 15:00:00;SRVDB1797;4.76;16.00
05.05.2024 16:00:00;SRVDB1797;4.48;16.00
05.05.2024 17:00:00;SRVDB1797;4.43;16.00
05.05.2024 18:00:00;SRVDB1797;4.04;16.00
05.05.2024 19:00:00;SRVDB1797;4.11;16.00
05.05.2024 20:00:00;SRVDB1797;4.03;16.00
05.05.2024 21:00:00;SRVDB1797;4.00;16.00
05.05.2024 22:00:00;SRVDB1797;35.81;16.00
05.05.2024 23:00:00;SRVDB1797;16.74;16.00
