,0
0,7.172991
1,7.869319
2,6.4960303
3,3.5952075
4,3.1197014
5,3.1477015
6,3.144884
7,4.0204687
8,4.7184887
9,4.981398
10,6.6160865
11,6.240002
12,7.0434556
13,6.664308
14,6.727157
15,5.964402
16,5.917999
17,5.6392856
18,5.579545
19,5.243432
20,4.685693
21,4.172624
22,8.904131
23,3.6148527
24,2.7545428
25,1.5708439
26,1.7899348
27,1.2469797
28,1.3755523
29,1.6956325
30,1.8998905
31,2.7734804
32,3.101269
33,3.7454484
34,5.685415
35,4.973838
36,5.990205
37,6.6361895
38,6.427355
39,5.939513
40,7.2579947
41,5.962188
42,5.3192863
43,4.4695573
44,4.1781535
45,3.7148013
46,8.122768
47,3.1492472
48,5.455709
49,4.933233
50,3.3095727
51,2.6168475
52,1.3621484
53,1.6822282
54,1.7933154
55,2.6401153
56,2.7555506
57,3.4524543
58,5.6791334
59,5.542324
60,6.3661313
61,6.901932
62,6.3232603
63,6.3165236
64,7.094291
65,5.880677
66,5.006363
67,6.1276507
68,5.965668
69,5.4575524
70,11.267823
71,3.7798877
72,5.630619
73,6.416729
74,5.955899
75,2.995214
76,1.371251
77,1.4148605
78,1.5203004
79,2.4144206
80,2.276564
81,2.6951687
82,5.023956
83,5.234482
84,4.9813023
85,7.0929523
86,4.261572
87,4.7361655
88,6.7466264
89,6.6894884
90,6.8056054
91,7.336838
92,6.8487415
93,5.0500836
94,12.229381
95,5.8057084
96,12.86451
97,13.7178335
98,16.184715
99,8.705543
100,1.530606
101,1.6715776
102,1.4488137
103,2.0353422
104,10.660229
105,3.7158105
106,4.711649
107,4.442945
108,4.2434483
109,5.3081303
110,5.248671
111,8.440733
112,11.285223
113,12.175951
114,8.280543
115,10.271143
116,11.597952
117,6.452879
118,22.856506
119,23.535488
120,23.56548
121,17.592115
122,6.1891556
123,3.1086822
124,1.5179522
125,2.271012
126,1.9311513
127,2.6244035
128,2.8540978
129,4.2231474
130,5.771027
131,6.0120387
132,6.994901
133,8.360151
134,6.582328
135,4.4191794
136,4.291452
137,4.9894404
138,5.240512
139,5.4912558
140,3.6828196
141,3.2627811
142,8.666206
143,4.315775
144,6.648357
145,6.0120873
146,5.6240034
147,2.3476
148,1.7292596
149,2.663298
150,2.748284
151,3.396164
152,3.6723182
153,3.9830263
154,4.5468717
155,5.0820465
156,6.310892
157,5.8938704
158,5.212618
159,4.7021565
160,6.9658995
161,7.165667
162,6.897747
163,6.42481
164,6.8256207
165,2.9476907
166,7.45222
167,3.6138926
168,3.1608534
169,2.9450645
170,1.8117292
171,1.6568458
172,1.4130801
173,1.9341236
174,2.0734315
175,2.8934283
176,3.001048
177,3.899027
178,5.3825603
179,5.8526874
180,7.7502356
181,6.409046
182,5.676116
183,5.4656386
184,5.703928
185,5.9184504
186,5.602698
187,5.0779004
188,5.189471
189,4.598805
190,8.897985
191,3.8574495
192,2.6242316
193,2.139348
194,1.6909981
195,1.3961335
196,1.5872644
197,1.9156077
198,1.9963459
199,3.0666187
200,3.200014
201,4.059819
202,5.650871
203,6.0393653
204,6.911116
205,8.016027
206,6.50678
207,6.176393
208,6.3354793
209,6.5868254
210,6.091593
211,5.143458
212,5.200812
213,4.1245847
214,8.576138
215,3.4892626
216,4.1251984
217,3.3739672
218,2.2984824
219,1.508441
220,1.585049
221,2.0842636
222,2.2773023
223,3.2216525
224,3.3211768
225,4.465471
226,5.9745507
227,6.0243096
228,6.903085
229,7.006174
230,6.525999
231,6.6179876
232,6.7870994
233,6.8540545
234,5.986643
235,9.627637
236,9.694066
237,7.8982635
238,12.787461
239,6.6298785
240,4.8310833
241,3.2240324
242,2.291159
243,1.7423837
244,1.8354722
245,2.1703122
246,2.1065476
247,3.1743238
248,3.3523574
249,4.234398
250,5.7728744
251,5.9669437
252,7.010531
253,7.7604394
254,7.6900134
255,7.06942
256,7.081687
257,7.3437443
258,6.316049
259,9.657522
260,9.655815
261,8.852291
262,12.314457
263,6.531787
264,3.4564998
265,1.8400279
266,1.7580129
267,1.0638884
268,1.4069756
269,1.310798
270,1.1896477
271,1.9248667
272,11.968804
273,6.3176146
274,4.967741
275,4.1087837
276,5.5623884
277,5.708302
278,5.3329196
279,5.7733655
280,5.9965277
281,6.835486
282,5.981968
283,11.423672
284,12.6527195
285,11.391026
286,28.684671
287,23.025103
288,17.817984
289,14.089272
290,3.6869843
291,0.46007204
292,0.5580938
293,0.9854699
294,0.8457143
295,1.9539076
296,2.671722
297,3.8354506
298,5.0774956
299,5.3913665
300,5.823895
301,6.2178216
302,6.954966
303,5.5880704
304,5.8449187
305,6.0857024
306,5.6676145
307,5.5208097
308,5.2990737
309,4.9193697
310,8.477752
311,4.2419195
312,2.4780414
313,2.8791983
314,2.7566855
315,0.7855375
316,0.79805267
317,0.9416991
318,0.94448024
319,2.3004172
320,2.8870852
321,3.4032667
322,4.668
323,4.7939687
324,5.464987
325,6.1669674
326,6.5287857
327,5.4050374
328,5.583288
329,6.2699122
330,5.936533
331,5.702951
332,5.573501
333,5.193797
334,8.873175
335,3.2322545
336,3.0437634
337,2.7163532
338,1.9348606
339,1.623402
340,1.457947
341,1.9932209
342,2.1485531
343,3.2511678
344,3.7482626
345,4.266939
346,5.70879
347,5.9582767
348,7.1135955
349,7.3966365
350,7.502981
351,6.855132
352,6.9600067
353,7.767962
354,7.145217
355,7.3408527
356,6.8390727
357,6.5127854
358,10.157433
359,3.6077864
360,4.2120543
361,2.282762
362,2.1259198
363,1.5697557
364,1.62668
365,1.9006032
366,2.0250564
367,3.183631
368,3.555429
369,4.1229177
370,5.6382236
371,5.539659
372,6.3737082
373,7.1796093
374,7.082105
375,6.474335
376,6.997647
377,7.394004
378,6.858538
379,6.9633346
380,6.003331
381,5.667816
382,8.9585
383,3.5368233
384,5.8828034
385,3.142284
386,1.8374203
387,1.5402467
388,1.68541
389,1.9135284
390,2.0998847
391,3.266588
392,3.1225686
393,4.225749
394,6.1999736
395,5.785626
396,6.8401747
397,6.9046836
398,7.0448318
399,6.5706196
400,6.927414
401,7.221519
402,6.803659
403,8.435993
404,7.8001695
405,7.3176317
406,10.947916
407,4.972111
408,5.738343
409,2.5267265
410,1.5566273
411,1.4635637
412,1.6168675
413,1.8114436
414,1.8171849
415,2.82524
416,3.668707
417,3.9638724
418,5.4297543
419,5.8622813
420,6.811992
421,6.803431
422,6.99709
423,6.4524536
424,6.761112
425,6.820344
426,6.9339385
427,8.205174
428,7.5343175
429,6.6239934
430,10.524891
431,4.4342084
432,5.310576
433,2.241823
434,1.7619289
435,1.0452747
436,1.481407
437,1.6716126
438,1.6260241
439,2.30762
440,12.288572
441,6.66469
442,5.182041
443,4.4583364
444,5.7358828
445,5.4704227
446,6.2818356
447,6.069015
448,6.3753633
449,6.7484837
450,5.4807343
451,7.4820924
452,8.242869
453,6.303628
454,28.845606
455,19.37066
456,20.565147
457,14.09918
458,1.3973286
459,0.956748
460,1.9275119
461,2.2438433
462,2.3047984
463,3.179161
464,3.7961037
465,5.394136
466,6.75294
467,6.899976
468,6.8288164
469,7.9049654
470,8.092318
471,6.882388
472,7.1902084
473,7.1994634
474,7.1849785
475,6.505427
476,5.792429
477,5.3526287
478,8.054845
479,4.044205
480,4.0234985
481,0.918138
482,1.0951076
483,1.2020816
484,1.6318613
485,1.9187492
486,2.094549
487,3.0679727
488,3.637538
489,4.2837076
490,5.6699023
491,5.576785
492,6.507323
493,7.493468
494,7.795036
495,6.559328
496,6.7275534
497,7.1042705
498,7.6119375
499,6.5733566
500,6.0235167
501,5.5837164
502,8.041848
503,4.0957475
504,4.418038
505,1.5562397
506,1.5987601
507,1.7730246
508,1.8202138
509,2.2996788
510,2.6364317
511,3.6547244
512,3.9147468
513,4.7836037
514,6.469251
515,6.5390134
516,7.5829597
517,8.016249
518,7.7060037
519,7.0824127
520,7.2427835
521,7.609611
522,7.7564135
523,6.797326
524,6.312373
525,6.043337
526,9.265375
527,4.346226
528,5.4362383
529,1.9992292
530,1.9750727
531,1.7791872
532,1.8252927
533,2.085377
534,2.3959358
535,3.3936787
536,3.3753345
537,4.104137
538,5.66824
539,5.652103
540,6.3637276
541,7.155085
542,7.1774764
543,6.479482
544,6.9825206
545,7.023729
546,7.2642636
547,6.3256927
548,5.837444
549,5.3912773
550,9.006217
551,4.103283
