Time (DD.MM.YYYY HH:MM:SS);name;CPU usage [%];vCPU [units]
01.01.2024 01:00:00;SRVDB1797;23.98;16.00
01.01.2024 02:00:00;SRVDB1797;11.50;16.00
01.01.2024 03:00:00;SRVDB1797;11.33;16.00
01.01.2024 04:00:00;SRVDB1797;11.16;16.00
01.01.2024 05:00:00;SRVDB1797;11.14;16.00
01.01.2024 06:00:00;SRVDB1797;10.85;16.00
01.01.2024 07:00:00;SRVDB1797;11.06;16.00
01.01.2024 08:00:00;SRVDB1797;10.88;16.00
01.01.2024 09:00:00;SRVDB1797;11.08;16.00
01.01.2024 10:00:00;SRVDB1797;11.38;16.00
01.01.2024 11:00:00;SRVDB1797;11.54;16.00
01.01.2024 12:00:00;SRVDB1797;11.36;16.00
01.01.2024 13:00:00;SRVDB1797;11.17;16.00
01.01.2024 14:00:00;SRVDB1797;11.31;16.00
01.01.2024 15:00:00;SRVDB1797;11.99;16.00
01.01.2024 16:00:00;SRVDB1797;12.16;16.00
01.01.2024 17:00:00;SRVDB1797;11.70;16.00
01.01.2024 18:00:00;SRVDB1797;11.54;16.00
01.01.2024 19:00:00;SRVDB1797;11.49;16.00
01.01.2024 20:00:00;SRVDB1797;11.79;16.00
01.01.2024 21:00:00;SRVDB1797;11.61;16.00
01.01.2024 22:00:00;SRVDB1797;14.27;16.00
01.01.2024 23:00:00;SRVDB1797;10.69;16.00
02.01.2024 00:00:00;SRVDB1797;10.29;16.00
02.01.2024 01:00:00;SRVDB1797;10.26;16.00
02.01.2024 02:00:00;SRVDB1797;9.99;16.00
02.01.2024 03:00:00;SRVDB1797;9.93;16.00
02.01.2024 04:00:00;SRVDB1797;9.86;16.00
02.01.2024 05:00:00;SRVDB1797;9.99;16.00
02.01.2024 06:00:00;SRVDB1797;9.98;16.00
02.01.2024 07:00:00;SRVDB1797;10.16;16.00
02.01.2024 08:00:00;SRVDB1797;10.10;16.00
02.01.2024 09:00:00;SRVDB1797;10.38;16.00
02.01.2024 10:00:00;SRVDB1797;11.43;16.00
02.01.2024 11:00:00;SRVDB1797;10.98;16.00
02.01.2024 12:00:00;SRVDB1797;11.29;16.00
02.01.2024 13:00:00;SRVDB1797;11.20;16.00
02.01.2024 14:00:00;SRVDB1797;11.19;16.00
02.01.2024 15:00:00;SRVDB1797;11.19;16.00
02.01.2024 16:00:00;SRVDB1797;11.39;16.00
02.01.2024 17:00:00;SRVDB1797;11.09;16.00
02.01.2024 18:00:00;SRVDB1797;11.59;16.00
02.01.2024 19:00:00;SRVDB1797;11.12;16.00
02.01.2024 20:00:00;SRVDB1797;10.87;16.00
02.01.2024 21:00:00;SRVDB1797;10.75;16.00
02.01.2024 22:00:00;SRVDB1797;13.43;16.00
02.01.2024 23:00:00;SRVDB1797;10.50;16.00
03.01.2024 00:00:00;SRVDB1797;10.33;16.00
03.01.2024 01:00:00;SRVDB1797;10.15;16.00
03.01.2024 02:00:00;SRVDB1797;9.95;16.00
03.01.2024 03:00:00;SRVDB1797;9.90;16.00
03.01.2024 04:00:00;SRVDB1797;9.85;16.00
03.01.2024 05:00:00;SRVDB1797;9.74;16.00
03.01.2024 06:00:00;SRVDB1797;9.43;16.00
03.01.2024 07:00:00;SRVDB1797;9.63;16.00
03.01.2024 08:00:00;SRVDB1797;9.65;16.00
03.01.2024 09:00:00;SRVDB1797;9.92;16.00
03.01.2024 10:00:00;SRVDB1797;10.30;16.00
03.01.2024 11:00:00;SRVDB1797;10.71;16.00
03.01.2024 12:00:00;SRVDB1797;11.52;16.00
03.01.2024 13:00:00;SRVDB1797;10.83;16.00
03.01.2024 14:00:00;SRVDB1797;10.61;16.00
03.01.2024 15:00:00;SRVDB1797;10.87;16.00
03.01.2024 16:00:00;SRVDB1797;12.18;16.00
03.01.2024 17:00:00;SRVDB1797;11.39;16.00
03.01.2024 18:00:00;SRVDB1797;11.46;16.00
03.01.2024 19:00:00;SRVDB1797;11.16;16.00
03.01.2024 20:00:00;SRVDB1797;10.64;16.00
03.01.2024 21:00:00;SRVDB1797;10.75;16.00
03.01.2024 22:00:00;SRVDB1797;12.66;16.00
03.01.2024 23:00:00;SRVDB1797;9.66;16.00
04.01.2024 00:00:00;SRVDB1797;9.41;16.00
